unique_step_id,battery_id,step_number,working_ion,battery_formula,formula_charge,formula_discharge,charge_material_id,discharge_material_id,charge_cif,discharge_cif,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,fracA_charge,fracA_discharge,stability_charge,max_delta_volume,delta_stability,delta_fracA,total_steps_in_battery,max_voltage_step
mp-28_Li_Step1,mp-28_Li,1,Li,Li0-3Ce,Ce,Li3Ce,mp-567332,mp-1185231,mp-28_Li_Step1_CHG_mp-567332.cif,mp-28_Li_Step1_DIS_mp-1185231.cif,-2.9298413716209413,6.215798926704662,1295.168213,-222.2429371,-576.1497706,0.0,0.75,-1.3440923784009162,11.267725725817217,-0.333634136,-0.75,1,0.0
mp-2074_Li_Step1,mp-2074_Li,1,Li,Li0-3Sb,Sb,Li3Sb,mp-10630,mp-2074,mp-2074_Li_Step1_CHG_mp-10630.cif,mp-2074_Li_Step1_DIS_mp-2074.cif,-1.8198893247304868,6.336672185907647,1890.293779,572.9091456,1920.448911,0.0,0.75,2.7340007516235745,7.612298897931637,0.32835075,-0.75,1,0.0
mp-568806_Li_Step1,mp-568806_Li,1,Li,Li0-0.17C,C,LiC6,mp-568806,mp-1021323,mp-568806_Li_Step1_CHG_mp-568806.cif,mp-568806_Li_Step1_DIS_mp-1021323.cif,-2.4379756762392826,5.184093877743765,358.2765504,35.9249146,72.54906796,0.0,0.076923077,-1.0786874042075152,-0.1886023144810966,0.011936282,-0.076923077,2,0.23617968
mp-568806_Li_Step2,mp-568806_Li,2,Li,Li0-0.17C,C,LiC6,mp-1021323,mp-1001581,mp-568806_Li_Step2_CHG_mp-1021323.cif,mp-568806_Li_Step2_DIS_mp-1001581.cif,-2.617431080451103,5.139429851359076,367.0483531,-5.713610922,-12.36405191,0.076923077,0.142857143,-1.3440923784009162,-0.19631554701177298,-0.002406077,-0.065934066,2,0.23617968
mp-573471_Li_Step1,mp-573471_Li,1,Li,Li4.25-4.4Sn,Li17Sn4,Li22Sn5,mp-573471,mp-1198729,mp-573471_Li_Step1_CHG_mp-573471.cif,mp-573471_Li_Step1_DIS_mp-1198729.cif,-2.867285133573837,3.3299193927104493,69.58474722,-9.76475813,-25.22557031,0.80952381,0.814814815,-1.3440923784009162,-0.32186563791750905,-0.010069883,-0.005291005,1,0.0
mp-124_Li_Step1,mp-124_Li,1,Li,Li0-3Ag,Ag,Li3Ag,mp-124,mp-865875,mp-124_Li_Step1_CHG_mp-124.cif,mp-124_Li_Step1_DIS_mp-865875.cif,-2.431843248683294,6.439008252839911,1984.816229,131.5583097,417.9336959,0.0,0.75,-1.2635094451954552,10.79232650839992,0.003609163,-0.75,1,0.0
mp-623511_Li_Step1,mp-623511_Li,1,Li,Li0-3Sn,Sn,Li3Sn,mp-1022725,mp-1185265,mp-623511_Li_Step1_CHG_mp-1022725.cif,mp-623511_Li_Step1_DIS_mp-1185265.cif,-2.1878945408309005,6.358257473018916,1878.660768,306.3429214,998.741503,0.0,0.75,-0.16227642862262198,7.545792638226798,0.054256835,-0.75,1,0.0
mp-45_Li_Step1,mp-45_Li,1,Li,Li0-3Ca,Ca,Li3Ca,mp-45,mp-975929,mp-45_Li_Step1_CHG_mp-45.cif,mp-45_Li_Step1_DIS_mp-975929.cif,-2.641172273897174,7.18633227171534,1271.741142,-85.72458651,-82.57498319,0.0,0.75,-1.3440923784009162,7.427564878856481,-0.057445444,-0.75,1,0.0
mp-8633_Li_Step1,mp-8633_Li,1,Li,Li0-3Cr,Cr,Li3Cr,mp-8633,mp-1185185,mp-8633_Li_Step1_CHG_mp-8633.cif,mp-8633_Li_Step1_DIS_mp-1185185.cif,-2.90161282505156,7.0077516867026866,1821.510423,-450.1624313,-742.6191863,0.0,0.75,2.7340007516235745,15.03644500290371,-0.003875875,-0.75,1,0.0
mp-8636_Li_Step1,mp-8636_Li,1,Li,Li0-3Nb,Nb,Li3Nb,mp-8636,mp-1185184,mp-8636_Li_Step1_CHG_mp-8636.cif,mp-8636_Li_Step1_DIS_mp-1185184.cif,-3.2190010022160527,6.56241642057071,2085.178415,-583.5458444,-1721.118698,0.0,0.75,2.7340007516235745,9.945396528287425,-0.378931353,-0.75,1,0.0
mp-80_Li_Step1,mp-80_Li,1,Li,Li0-3Sb,Sb,Li3Sb,mp-80,mp-7955,mp-80_Li_Step1_CHG_mp-80.cif,mp-80_Li_Step1_DIS_mp-7955.cif,-1.8325177861005297,6.336672185907647,1679.324094,563.5367907,1678.202994,0.0,0.75,2.7340007516235745,8.642810725459348,0.287371405,-0.75,1,0.0
mp-867343_Li_Step1,mp-867343_Li,1,Li,Li0-3Cd,Cd,Li3Cd,mp-1096861,mp-867343,mp-867343_Li_Step1_CHG_mp-1096861.cif,mp-867343_Li_Step1_DIS_mp-867343.cif,-2.4084687896979324,6.40437341572683,1791.743119,145.6375415,432.3984224,0.0,0.75,-1.3440923784009162,9.488397124317295,0.0,-0.75,1,0.0
mp-1009747_Li_Step1,mp-1009747_Li,1,Li,Li0-1ScSn,ScSn,LiScSn,mp-1009747,mp-1100438,mp-1009747_Li_Step1_CHG_mp-1009747.cif,mp-1009747_Li_Step1_DIS_mp-1100438.cif,-1.8021999230917378,5.06319568424547,578.5416262,163.2583128,601.2398294,0.0,0.333333333,2.7340007516235745,-0.161961358762314,0.556952976,-0.333333333,1,0.0
mp-1045514_Li_Step1,mp-1045514_Li,1,Li,Li0-0.5CrO2,CrO2,LiCr2O4,mp-1389152,mp-1045514,mp-1045514_Li_Step1_CHG_mp-1389152.cif,mp-1045514_Li_Step1_DIS_mp-1045514.cif,0.3568973752211144,5.038327664374663,624.2236979,594.5851383,2422.488861,0.0,0.142857143,2.0828473029263517,-0.1881608531423841,0.051402287,-0.142857143,1,0.0
mp-1045401_Li_Step1,mp-1045401_Li,1,Li,Li0-0.5MnS2,MnS2,Li(MnS2)2,mp-1386044,mp-1045401,mp-1045401_Li_Step1_CHG_mp-1386044.cif,mp-1045401_Li_Step1_DIS_mp-1045401.cif,-1.13831979182059,4.703742224687213,370.8451569,209.2001709,709.4120584,0.0,0.142857143,-1.0869767188043016,0.33928032575950856,0.011561333,-0.142857143,1,0.0
mp-1001833_Li_Step1,mp-1001833_Li,1,Li,Li0-2InBi,InBi,Li2InBi,mp-1001833,mp-1096733,mp-1001833_Li_Step1_CHG_mp-1001833.cif,mp-1001833_Li_Step1_DIS_mp-1096733.cif,-3.9989641548496735,5.073539625673141,81.06464596,-293.9696455,-150.124316,0.0,0.5,-0.7712735740199741,16.584200138084693,-1.0,-0.5,1,0.0
mp-1009755_Li_Step1,mp-1009755_Li,1,Li,Li0-1Ca2Ge,Ca2Ge,LiCa2Ge,mp-1009755,mp-1206798,mp-1009755_Li_Step1_CHG_mp-1009755.cif,mp-1009755_Li_Step1_DIS_mp-1206798.cif,-2.756362249252335,5.128626034402757,452.7579389,-36.33069346,-98.03620474,0.0,0.25,-0.992322418184121,-0.02817619172248686,-0.050170019,-0.25,1,0.0
mp-1009555_Li_Step1,mp-1009555_Li,1,Li,Li0-1CrO2,CrO2,LiCrO2,mp-1009555,mp-1236414,mp-1009555_Li_Step1_CHG_mp-1009555.cif,mp-1009555_Li_Step1_DIS_mp-1236414.cif,-2.856872023221043,5.689444768897132,1423.429227,-102.8049067,-496.508052,0.0,0.25,2.5986091150609774,0.8231174182602707,-0.91185943,-0.25,1,0.0
